33.48817914,32.31936961,32.51196825,32.07917687,31.93267574
33.81660091,32.45318141,32.60869615,32.21356916,32.04181859
33.75724263,32.28952834,32.42707256,32.28556463,32.26150113
33.29970295,32.52795918,32.46953288,31.88622676,31.55080272
33.79358957,32.60189116,32.43076417,31.68051247,31.2808254
33.31853515,32.62457596,32.65297052,31.93804762,31.42153968
33.4414966,32.35835147,32.3805873,32.1199093,31.45977778
32.38345578,32.07028798,31.97826077,31.37007029,30.52500227
32.81160771,32.04455102,32.17199093,31.71953288,31.24343311
33.337,31.99570522,32.3724127,31.86316553,31.71582993
33.07339683,31.95924036,32.28424036,31.88960998,31.93687755
33.62980045,32.69798639,33.11316327,32.68859637,32.46427438
32.95072562,31.91819048,32.16194785,31.87142177,31.66728118
32.82314739,31.85807256,32.08372336,31.74460998,31.5415805
33.66171202,32.48028571,32.12303628,31.64528798,31.2032449
32.79993197,31.77428571,31.9986712,32.00983673,31.59382086
32.31520181,31.56770295,31.53748299,31.43053741,31.00143991
32.84868254,31.78328118,31.68589116,31.41985034,31.08209751
32.41187528,31.19249887,31.60814512,31.44631066,31.52241723
32.81918367,31.58755556,31.86545351,31.47911111,31.37197959
32.81918367,31.58755556,31.86545351,31.47911111,31.37197959
